,Education,Key
33,NATIONAL VICTOR PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNDI4NzgyNjM3MzI5MjUxXCJ9In0%3D
34,SOMERVILLE SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTg0MjkyMjE0OTg5ODY0XCJ9In0%3D
35,ASN SR. SEC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAyNTg5NDQzMTE5MjgzXCJ9In0%3D
36,PLATO PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTMzMjg2NzUzMzYwMTgwXCJ9In0%3D
37,ST. ANDREWS SCOTS. SR.SEC. SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTExNzA2MzIyNzE3NjYyXCJ9In0%3D
38,BAL BHAVAN PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzcwMDk1MTUzMDYyMjU1XCJ9In0%3D
39,Mothers Global School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjE3NDMzMDk1NzAzMTM3XCJ9In0%3D
40,PREET PUBLIC SEC. SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTI2NzExODM3NDE4ODEyXCJ9In0%3D
41,East Point School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTIwNTkyNDUxMzE4OTYzXCJ9In0%3D
42,HARVARD ACADEMY,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTM5NTU2OTc2NjU3NTM0XCJ9In0%3D
0,ADARSH VIDYA BHAWAN,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzg3ODkzMzA1MDA0Njg4XCJ9In0%3D
1,MAYUR PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA1NjMyOTM5NDcwNDg4XCJ9In0%3D
2,RISHABH PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk2NDI2MjAzNzIwMzIwXCJ9In0%3D
3,MAYO INTERNATIONAL SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTk2NDI2MjAzNzIwMzIwXCJ9In0%3D
4,SANKAR PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTYxNTUwNDQzODU0MDQyMlwifSJ9
5,BAPU PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTU1NDc5NzQ1MjE0NDQzXCJ9In0%3D
6,ASTER PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNjMwODYyNzIzNjQ5NDQzXCJ9In0%3D
7,G.C.PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjMyNzI4NTMzNDA3MDM2XCJ9In0%3D
8,ANGLO INDIAN PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA0NzQ5MzI0NTM1MDkwM1wifSJ9
9,MOTHERS CONVENT SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzA1MTUzNDUzMTcwOTYyXCJ9In0%3D
10,RAJDHANI PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTg4OTIxNjE2MTM1NTk2OFwifSJ9
11,CENTRAL PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTUzMDk3MTE4NjU3ODg0XCJ9In0%3D
12,LAV KUSH PUBLIC SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAyNTk3NDc4NTkwMDY5XCJ9In0%3D
13,DELHI CONVENT SCHOOL,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAwNDk0MDMwOTU3NzExMlwifSJ9
